,filename,id,language,date,author,title,gender,person,length
0,"FR_1771_Dorat,ClaudeJoseph_LesSacrificesDeLAmour_Novel.txt",301,French,1771,"Dorat,ClaudeJoseph",LesSacrificesDeLAmour,male,first,68295
1,"FR_1772_Arnaud,FrancoisThomasMariedeBaculardd'_EpreuvesDuSentiment_Novel.txt",302,French,1772,"Arnaud,FrancoisThomasMariedeBaculardd'",EpreuvesDuSentiment,male,third,199419
2,"FR_1774_Mercier,LouisSebastian_LanDeuxMilleQuatreCentQuarante_Novel.txt",303,French,1774,"Mercier,LouisSebastian",LanDeuxMilleQuatreCentQuarante,male,first,63900
3,"FR_1775_Gerard,PhilippeLouis_LeComteDeValmont_Novel.txt",304,French,1775,"Gerard,PhilippeLouis",LeComteDeValmont,male,first,165746
4,"FR_1776_Riccoboni,MarieJeannedeHeurlesLaborasdeMezieres_LettresDeMylordRiversASirCharlesCardigan_Novel.txt",305,French,1776,"Riccoboni,MarieJeannedeHeurlesLaborasdeMezieres",LettresDeMylordRiversASirCharlesCardigan,female,first,44954
5,"FR_1779_LoaiselTreogate,JM_LucileEtMilcourt_Novel.txt",306,French,1779,"LoaiselTreogate,JM",LucileEtMilcourt,male,first,29046
6,"FR_1782_Genlis,StephanieFelicite,Comtessede_AdeleEtTheodoreOuLettresSurLEducation_Novel.txt",307,French,1782,"Genlis,StephanieFelicite,Comtessede",AdeleEtTheodoreOuLettresSurLEducation,female,first,239418
7,"FR_1782_Laclos,ChoderlosDe_LesLiaisonsDangereuses_Novel.txt",308,French,1782,"Laclos,ChoderlosDe",LesLiaisonsDangereuses,male,first,135547
8,"FR_1782_Lesuire,RobertMartin_L'AventurierFrancoisOuMemoiresDeGregoireMerveil_Novel.txt",309,French,1782,"Lesuire,RobertMartin",L'AventurierFrancoisOuMemoiresDeGregoireMerveil,male,first,50737
9,"FR_1783_Berquin,M.Arnaud_LAmiDesEnfants_Novel.txt",310,French,1783,"Berquin,M.Arnaud",LAmiDesEnfants,male,third,35204
10,"FR_1784_Diderot,Denis_JacquesLeFataliste_Novel.txt",311,French,1784,"Diderot,Denis",JacquesLeFataliste,male,third,85878
11,"FR_1784_Diderot,Denis_LaReligieuse_Novel.txt",312,French,1784,"Diderot,Denis",LaReligieuse,male,first,59722
12,"FR_1787_Beckford,William_VathekConteArabe_Novel.txt",313,French,1787,"Beckford,William",VathekConteArabe,male,third,32765
13,"FR_1787_Charriere,IsabelleDe_CalisteOuLettresDeLausanne_Novel.txt",314,French,1787,"Charriere,IsabelleDe",CalisteOuLettresDeLausanne,female,first,49111
